GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
02-pass-annaBrundin,annaBrundin,AdvancedCalculator,0,30,0,0,0,6,0,6,0,6
02-pass-annaBrundin,annaBrundin,Main,4,0,0,0,2,0,2,0,2,0
02-pass-annaBrundin,annaBrundin,BasicCalculator,0,19,0,0,0,5,0,5,0,5
